1,We had a serious talk with some friends of ours who have been flaky lately they understood and we had a good evening hanging out.,01/01/2018,0.6000000238418579,0.6000000238418579
2,I meditated last night.,02/01/2018,0.0,0.0
3,My grandmother start to walk from the bed after a long time.,03/01/2018,0.30000001192092896,0.30000001192092896
4,I picked my daughter up from the airport and we have a fun and good conversation on the way home.,04/01/2018,0.800000011920929,0.800000011920929
5,when i received flowers from my best friend.,05/01/2018,0.699999988079071,0.699999988079071
6,I went shopping.,06/01/2018,0.10000000149011612,0.10000000149011612
7,I like the phone so much!,07/01/2018,0.4000000059604645,0.4000000059604645
8,I bought a new TV.,08/01/2018,0.0,0.0
9,I slow cooked a chuck roast on my stove that came out great.,09/01/2018,0.20000000298023224,0.20000000298023224
10,I lost 2 kgs of weight after a month long effort I had put to achieve it.,10/01/2018,0.6000000238418579,0.6000000238418579
11,i finally learned to cook chicken.,11/01/2018,0.8999999761581421,0.8999999761581421
12,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY.,12/01/2018,0.699999988079071,0.699999988079071
13,My son results is today its got very good he scored 99% in school its so happy to see the results.,13/01/2018,0.8999999761581421,0.8999999761581421
14,My family went to a wildlife park. It was so beautiful.,14/01/2018,0.30000001192092896,0.30000001192092896
15,A made quite the progress on an old rusty workbench I am restoring at the moment.,15/01/2018,0.699999988079071,0.699999988079071
16,Getting all my errands done and completed.,16/01/2018,0.20000000298023224,0.20000000298023224
17,I finally mastered how to make crispy tofu.,17/01/2018,0.30000001192092896,0.30000001192092896
18,My husband says me 'I love u ' when i woke up in the morning.,18/01/2018,0.8999999761581421,0.8999999761581421
19,I ate some peanut butter M&Ms while watching John Oliver. They were delicious and he was hilarious.,19/01/2018,0.6000000238418579,0.6000000238418579
20,I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,20/01/2018,0.0,0.0
21,I enjoyed play Soccer with my brother,21/01/2018,0.8999999761581421,0.8999999761581421
22,I went to lunch with my girlfriend and her family,22/01/2018,0.8999999761581421,0.8999999761581421
23,My wife told me that despite my having lost overtime hours she is happy to have me around her more.,23/01/2018,0.800000011920929,0.800000011920929
24,I cooked food for my mother-in-law.  And she liked it too,24/01/2018,0.5,0.5
25,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself.,25/01/2018,0.6000000238418579,0.6000000238418579
26,I finally decorated my son's room for his birthday.,26/01/2018,0.10000000149011612,0.10000000149011612
27,I celebrated my 7th wedding anniversary with my wife.,27/01/2018,0.699999988079071,0.699999988079071
28,My wife wear her favorite saree for office meeting.,28/01/2018,0.20000000298023224,0.20000000298023224
29,I went for a walk on the marina with my husband.,29/01/2018,0.30000001192092896,0.30000001192092896
30,I watched a movie with my wife, and we both enjoyed it.,30/01/2018,0.4000000059604645,0.4000000059604645
